epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,664.441,1.78905,0.97603,1.68783,0.85869,0.8534,0.88491,0.64807,1.88443,0.98029,1.67999,0.000580174,0.000580174,0.000580174
62,674.735,1.83091,1.012,1.69267,0.86899,0.84205,0.88312,0.66563,1.75991,0.95516,1.66512,0.000566027,0.000566027,0.000566027
63,685.178,1.8045,0.98727,1.68583,0.86468,0.84968,0.88763,0.6414,1.89124,0.96895,1.68541,0.00055188,0.00055188,0.00055188
64,695.438,1.82658,1.00467,1.69217,0.87474,0.85378,0.89618,0.67558,1.72012,0.87157,1.64975,0.000537733,0.000537733,0.000537733
65,707.05,1.79396,0.97792,1.68407,0.87635,0.85497,0.89207,0.67493,1.73762,0.88646,1.65765,0.000523586,0.000523586,0.000523586
66,717.478,1.78762,0.96988,1.68522,0.85196,0.87906,0.90082,0.6661,1.78694,0.8724,1.66981,0.000509438,0.000509438,0.000509438
67,727.707,1.77196,0.97179,1.68321,0.85991,0.83531,0.87246,0.65499,1.78764,1.02166,1.67136,0.000495291,0.000495291,0.000495291
68,738.861,1.76559,0.96442,1.68326,0.88435,0.85902,0.89676,0.67968,1.71699,0.87136,1.65037,0.000481144,0.000481144,0.000481144
69,749.294,1.74436,0.93768,1.68135,0.843,0.84852,0.87492,0.64739,1.91137,1.04873,1.69356,0.000466997,0.000466997,0.000466997
70,759.733,1.75611,0.95345,1.67792,0.83841,0.82101,0.86305,0.62686,2.07217,1.09994,1.74149,0.00045285,0.00045285,0.00045285
71,770.706,1.74706,0.94194,1.67322,0.88647,0.86423,0.899,0.6781,1.68628,0.86045,1.64581,0.000438703,0.000438703,0.000438703
72,780.913,1.72594,0.94121,1.67705,0.86942,0.87347,0.90259,0.689,1.6948,0.86374,1.64868,0.000424556,0.000424556,0.000424556
73,791.65,1.73155,0.94519,1.67622,0.88953,0.8639,0.90253,0.677,1.79851,0.85618,1.67052,0.000410409,0.000410409,0.000410409
74,802.355,1.68718,0.92631,1.67079,0.83134,0.81657,0.85269,0.63314,1.91351,1.15594,1.6906,0.000396262,0.000396262,0.000396262
75,812.62,1.70901,0.93232,1.67034,0.89686,0.86206,0.90375,0.69081,1.65831,0.85261,1.64173,0.000382115,0.000382115,0.000382115
76,823.683,1.69808,0.92516,1.67101,0.88529,0.88093,0.90965,0.68308,1.69839,0.83603,1.64835,0.000367967,0.000367967,0.000367967
77,833.976,1.66206,0.90244,1.66921,0.84636,0.83362,0.88758,0.65247,1.89719,1.0143,1.68958,0.00035382,0.00035382,0.00035382
78,844.25,1.71018,0.93928,1.67342,0.89445,0.84421,0.88933,0.68171,1.7007,0.91735,1.65584,0.000339673,0.000339673,0.000339673
79,854.611,1.67633,0.90878,1.66655,0.83389,0.76274,0.82092,0.59329,2.15638,1.3809,1.7705,0.000325526,0.000325526,0.000325526
80,865.145,1.68178,0.90838,1.6684,0.90035,0.8571,0.90419,0.67617,1.81624,0.88299,1.6732,0.000311379,0.000311379,0.000311379
81,875.476,1.64901,0.89742,1.66614,0.87969,0.84822,0.89637,0.6639,1.94767,0.96274,1.71112,0.000297232,0.000297232,0.000297232
82,886.623,1.64514,0.88631,1.6631,0.86999,0.84518,0.88445,0.66632,1.79355,0.99122,1.67606,0.000283085,0.000283085,0.000283085
83,897.67,1.65273,0.89111,1.66124,0.88537,0.87207,0.91126,0.69351,1.64945,0.79228,1.64314,0.000268938,0.000268938,0.000268938
84,908.211,1.645,0.89412,1.66015,0.89875,0.87375,0.90657,0.69806,1.59318,0.81275,1.63,0.000254791,0.000254791,0.000254791
85,918.791,1.62577,0.88899,1.66292,0.89431,0.84416,0.88517,0.67968,1.69947,0.95301,1.65819,0.000240644,0.000240644,0.000240644
86,929.093,1.64075,0.88136,1.65771,0.86402,0.86589,0.89628,0.67274,1.79795,0.92856,1.67302,0.000226497,0.000226497,0.000226497
87,939.52,1.64019,0.88474,1.66177,0.8672,0.88235,0.9118,0.6909,1.65755,0.82163,1.641,0.000212349,0.000212349,0.000212349
88,951.395,1.62101,0.87877,1.65927,0.8937,0.88441,0.91503,0.70115,1.60005,0.78678,1.63051,0.000198202,0.000198202,0.000198202
89,961.94,1.61652,0.88006,1.65563,0.88145,0.81235,0.86271,0.66255,1.72341,1.09471,1.66853,0.000184055,0.000184055,0.000184055
90,972.356,1.61758,0.87515,1.65447,0.86029,0.82998,0.87006,0.63227,2.0889,1.09419,1.73374,0.000169908,0.000169908,0.000169908
91,984.576,1.61226,0.84132,1.65388,0.8664,0.77251,0.8311,0.61638,2.08867,1.45993,1.75468,0.000155761,0.000155761,0.000155761
92,993.498,1.53114,0.79394,1.64445,0.90451,0.85982,0.90226,0.69736,1.59499,0.83339,1.63087,0.000141614,0.000141614,0.000141614
93,1002.78,1.50205,0.77713,1.63747,0.89117,0.87785,0.91223,0.69224,1.68032,0.80313,1.64513,0.000127467,0.000127467,0.000127467
94,1011.66,1.47525,0.76852,1.6363,0.8651,0.85851,0.89823,0.66228,1.92042,0.98179,1.70159,0.00011332,0.00011332,0.00011332
95,1020.71,1.46816,0.76401,1.63687,0.88752,0.88621,0.91607,0.71317,1.53012,0.76043,1.61971,9.91726e-05,9.91726e-05,9.91726e-05
96,1029.94,1.4492,0.75685,1.62945,0.8911,0.87642,0.91378,0.69707,1.68722,0.8186,1.6507,8.50255e-05,8.50255e-05,8.50255e-05
97,1039.03,1.45143,0.7488,1.63197,0.8894,0.88742,0.92018,0.71465,1.50797,0.74957,1.61795,7.08784e-05,7.08784e-05,7.08784e-05
98,1047.99,1.44494,0.74485,1.62597,0.90534,0.88411,0.92051,0.71343,1.51841,0.75059,1.61835,5.67313e-05,5.67313e-05,5.67313e-05
99,1056.83,1.43179,0.73302,1.63037,0.89528,0.8874,0.91901,0.70841,1.58161,0.77702,1.62793,4.25842e-05,4.25842e-05,4.25842e-05
100,1065.93,1.42883,0.74489,1.62911,0.90471,0.88999,0.92236,0.71277,1.5354,0.7522,1.62141,2.84371e-05,2.84371e-05,2.84371e-05
