epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,1030.22,1.74632,0.96012,1.6809,0.80835,0.76573,0.81313,0.61746,2.02072,1.36507,1.74506,0.000254791,0.000254791,0.000254791
85,1041.99,1.75003,0.9559,1.6808,0.76252,0.75316,0.79769,0.5339,2.63974,1.43108,1.94689,0.000240644,0.000240644,0.000240644
86,1054.08,1.75861,0.95562,1.68083,0.83792,0.80282,0.85079,0.64268,1.88382,1.11683,1.70992,0.000226497,0.000226497,0.000226497
87,1066.39,1.75307,0.95247,1.67608,0.86892,0.84174,0.88488,0.67578,1.69459,0.88322,1.66328,0.000212349,0.000212349,0.000212349
88,1078.5,1.73331,0.94629,1.67484,0.85163,0.81842,0.8667,0.65487,1.7923,1.04007,1.69037,0.000198202,0.000198202,0.000198202
89,1090.44,1.71392,0.93775,1.67674,0.86722,0.84369,0.88659,0.68013,1.67152,0.87453,1.65962,0.000184055,0.000184055,0.000184055
90,1101.69,1.71959,0.93724,1.67655,0.79866,0.80311,0.84026,0.61069,2.1068,1.16449,1.77108,0.000169908,0.000169908,0.000169908
91,1113.1,1.67949,0.89121,1.67103,0.83312,0.81886,0.86943,0.66093,1.78833,1.04519,1.68805,0.000155761,0.000155761,0.000155761
92,1123.96,1.61581,0.84615,1.66103,0.858,0.84594,0.88454,0.66986,1.74723,0.88756,1.67953,0.000141614,0.000141614,0.000141614
93,1133.8,1.58988,0.83469,1.65873,0.85415,0.83039,0.8724,0.63228,2.03569,0.97706,1.74602,0.000127467,0.000127467,0.000127467
94,1144.06,1.57214,0.8278,1.65085,0.85567,0.83067,0.87553,0.64499,1.97745,0.99392,1.73814,0.00011332,0.00011332,0.00011332
95,1155.1,1.57437,0.81793,1.65215,0.83763,0.84418,0.87581,0.66035,1.80325,0.9313,1.69874,9.91726e-05,9.91726e-05,9.91726e-05
96,1164.92,1.54802,0.80778,1.64473,0.85648,0.83171,0.87292,0.67322,1.6927,0.94654,1.66698,8.50255e-05,8.50255e-05,8.50255e-05
97,1174.75,1.53632,0.80022,1.64596,0.87312,0.84867,0.89031,0.68791,1.61422,0.84768,1.6491,7.08784e-05,7.08784e-05,7.08784e-05
98,1184.72,1.52282,0.80093,1.64253,0.87022,0.85276,0.89118,0.6852,1.62717,0.83379,1.65233,5.67313e-05,5.67313e-05,5.67313e-05
99,1195.91,1.5156,0.8021,1.64556,0.86135,0.84117,0.88413,0.6808,1.64184,0.88409,1.65496,4.25842e-05,4.25842e-05,4.25842e-05
100,1205.53,1.51839,0.8005,1.64427,0.86822,0.84981,0.89002,0.69394,1.57901,0.83485,1.64328,2.84371e-05,2.84371e-05,2.84371e-05
